"JURISDICTION","AGE_GROUP","Sum(FINES)"
"ACT","0-16",10
"ACT","17-25",82
"ACT","26-39",110
"ACT","40-64",79
"ACT","65 and over",7
"NSW","0-16",18
"NSW","17-25",4141
"NSW","26-39",5055
"NSW","40-64",3692
"NSW","65 and over",379
"NSW","Unknown",202757
"NT","17-25",41
"NT","26-39",90
"NT","40-64",64
"NT","65 and over",10
"QLD","Unknown",80292
"SA","0-16",3
"SA","17-25",1387
"SA","26-39",2272
"SA","40-64",1805
"SA","65 and over",302
"SA","Unknown",0
"TAS","0-16",0
"TAS","17-25",440
"TAS","26-39",1017
"TAS","40-64",837
"TAS","65 and over",134
"VIC","0-16",6
"VIC","17-25",4440
"VIC","26-39",13162
"VIC","40-64",12162
"VIC","65 and over",1572
"VIC","Unknown",18204
"WA","0-16",
"WA","17-25",706
"WA","26-39",1512
"WA","40-64",1227
"WA","65 and over",147
