"JURISDICTION","AGE_GROUP","Sum(FINES)"
"ACT","0-16",4
"ACT","17-25",27
"ACT","26-39",21
"ACT","40-64",21
"ACT","65 and over",2
"NSW","0-16",62
"NSW","17-25",2644
"NSW","26-39",4131
"NSW","40-64",2871
"NSW","65 and over",538
"NT","0-16",1
"NT","17-25",153
"NT","26-39",351
"NT","40-64",266
"NT","65 and over",18
"QLD","Unknown",37530
"SA","0-16",11
"SA","17-25",487
"SA","26-39",931
"SA","40-64",1044
"SA","65 and over",411
"SA","Unknown",0
"TAS","0-16",0
"TAS","17-25",358
"TAS","26-39",678
"TAS","40-64",705
"TAS","65 and over",328
"TAS","Unknown",1
"VIC","0-16",13
"VIC","17-25",2074
"VIC","26-39",5916
"VIC","40-64",6264
"VIC","65 and over",1804
"VIC","Unknown",14329
"WA","0-16",1
"WA","17-25",410
"WA","26-39",715
"WA","40-64",536
"WA","65 and over",111
"WA","Unknown",1
