"JURISDICTION","AGE_GROUP","Sum(FINES)"
"ACT","0-16",58
"ACT","17-25",9007
"ACT","26-39",19950
"ACT","40-64",31836
"ACT","65 and over",9925
"NSW","0-16",127
"NSW","17-25",43780
"NSW","26-39",60280
"NSW","40-64",59426
"NSW","65 and over",12036
"NSW","Unknown",705834
"NT","0-16",57
"NT","17-25",5649
"NT","26-39",14283
"NT","40-64",17659
"NT","65 and over",4188
"NT","Unknown",1470
"QLD","Unknown",860626
"SA","0-16",21
"SA","17-25",24364
"SA","26-39",56350
"SA","40-64",90037
"SA","65 and over",28380
"SA","Unknown",4450
"TAS","0-16",18
"TAS","17-25",9407
"TAS","26-39",20286
"TAS","40-64",26326
"TAS","65 and over",8968
"TAS","Unknown",35
"VIC","0-16",15
"VIC","17-25",93157
"VIC","26-39",312408
"VIC","40-64",492629
"VIC","65 and over",147705
"VIC","Unknown",256714
"WA","0-16",34
"WA","17-25",95909
"WA","26-39",246081
"WA","40-64",373492
"WA","65 and over",91599
"WA","Unknown",372
